Target ID,RA,DEC,Plx,Pwd,GmagCorr,GMAG,BP-RP,TeffH,MassH,TeffHe,MassHe,Teffmix,Massmix
144456191.0,359.7405563763073,-44.95378971399831,13.541135775539706,0.999835,15.397967,11.056242802243617,-0.2023592,16927.28,0.5977092,16980.61,0.6243698,16903.55,0.6264242
441055500.0,359.389245402092,-14.902684073316706,2.875716957134525,0.926075,15.294545,7.5882758652245865,-0.45164967,39401.05,0.3141022,nan,nan,nan,nan
422790055.0,359.1152314776465,2.9513302575171614,3.623085062824508,0.994345,15.758549,8.553941389192687,-0.49005318,118358.1,0.8685335,nan,nan,nan,nan
177500431.0,358.8351511779195,44.94048759699697,13.4248261167161,0.999227,15.814405,11.453947833940921,-0.106760025,14516.56,0.6235733,14240.19,0.6011853,14148.32,0.6013036
291688847.0,358.7357176492971,40.45584923580282,45.28594096552742,0.989495,14.852538,13.132355089225165,0.312006,8444.237,0.7530051,8256.079,0.692277,7902.252,0.5952235
234299361.0,358.7129673583861,-60.38789870190752,17.65185250555217,0.995171,15.99142,12.225371241848592,0.16177177,9844.132,0.5975681,9670.75,0.5222707,9241.032,0.480054
183984307.0,358.5785169394626,-36.568316024088425,16.32670428289782,0.999443,15.223864,11.288356235042025,-0.14161968,14896.54,0.5926535,14688.53,0.5797696,14588.93,0.579878
77041172.0,358.5028173514711,-33.27708790934541,43.099606869890664,0.990671,14.475753,12.648119374462645,0.29198456,8558.918,0.5728981,8388.943,0.5125518,7999.77,0.4656101
34035509.0,358.2656962431092,-24.534305001517613,11.396590959213611,0.998758,15.368653,10.652528102784858,-0.41525936,29308.82,0.8747815,36785.41,0.9594307,36772.91,0.9627513
34015812.0,358.0967801933065,-28.05468919640086,11.531635996368825,0.999752,15.478537,10.787991231550997,-0.22410679,17793.94,0.5343626,18397.25,0.5861217,18338.29,0.5882048
248601764.0,358.000434215344,-3.614913944583586,10.723821993240662,0.999749,15.594348,10.746095935966533,-0.23103142,18160.26,0.5310483,18727.54,0.5808106,18674.76,0.5829929
33986466.0,357.841554263961,-24.13917916696919,20.02108332116848,0.996997,15.355125,11.862563292382362,0.043209076,11317.22,0.6186689,11247.68,0.5463189,10950.89,0.5102869
129633313.0,357.4790010893318,29.56555497241167,47.7389030880973,0.990241,15.578869,13.973231045284088,0.80542564,5812.838,0.5059669,5709.284,0.4891918,nan,nan
396194119.0,357.0235811311113,41.03792721760376,17.469075860081023,0.999779,14.662087,10.873437094345531,-0.23346806,19057.08,0.603529,19752.0,0.6626368,19722.25,0.6656181
144382040.0,356.9424652870679,-47.89491564709383,4.051976955608063,0.989267,15.874588,8.912922846579868,-0.38176537,26248.1,0.3841542,31432.62,0.4099675,31527.63,0.4107866
144376819.0,356.5522356351652,-47.241857419009335,17.352747000329032,0.998638,15.501556,11.69839757098083,-0.03893757,12508.11,0.6370044,12340.04,0.5764233,12189.57,0.5652154
431422583.0,356.5248071824335,49.58787921400876,6.154338863613917,0.99867,15.959158,9.905064969862247,-0.40472126,31034.62,0.638932,38563.32,0.7158127,38526.01,0.7190232
2053342742.0,356.1954121175951,15.9674029358732,7.655490890627534,0.999207,15.867204,10.287068932739556,-0.28048038,22559.55,0.5166409,25244.17,0.5374172,25282.32,0.5413361
2733719.0,356.0839774951414,-16.17962763915517,12.444986250884325,0.998925,15.996811,11.471783018785949,-0.07059479,13174.82,0.5728527,12986.65,0.5328225,12884.6,0.5292797
288144896.0,355.9602000462695,32.546047334095135,53.76190380786143,0.987946,12.966921,11.619294050082049,-0.043276787,12586.25,0.60852,12449.77,0.554412,12311.02,0.5450687
325219117.0,355.8863940006173,-66.29754819429002,10.641128152192012,0.999789,15.767839,10.902776845467653,-0.23794937,18241.57,0.5947434,18637.31,0.6431248,18581.93,0.6453867
327831847.0,355.8801749909725,-88.3861248915756,13.324891196121023,0.999315,14.94345,10.566768331552293,-0.35565662,24886.63,0.703016,29829.1,0.7521319,29875.19,0.7565211
186893986.0,355.2956160595794,29.415658458919623,14.298227791298293,0.999214,15.672136,11.44854736536208,-0.10338783,14277.56,0.6127467,13997.48,0.5868707,13909.63,0.5869108
345142414.0,355.2816989776718,57.848267005768086,13.74343374069257,0.9979,15.796658,11.487133827157221,-0.02098751,12449.33,0.5307851,12410.06,0.4842549,12268.99,0.4751354
2055273342.0,355.2512241752994,-54.119683848730254,13.458270220309915,0.99915,15.056304,10.701250197892744,-0.14124584,15340.27,0.4370313,14891.79,0.4454447,14791.5,0.4454086
277938251.0,355.1442908973951,-75.75301222453464,14.718759299852278,0.999071,14.809373,10.648728917977845,-0.1351347,14294.55,0.4066019,14476.51,0.4285042,14390.34,0.4287382
336678031.0,354.7424708079502,6.5917557170495185,14.211053506566088,0.999295,15.594857,11.357988589026366,-0.18786716,16722.44,0.7034842,16522.22,0.7163741,16437.52,0.7182982
66419115.0,354.7203651013823,-18.437478691677217,26.875843211509732,0.972912,15.487462,12.634272537936054,0.38508034,7900.849,0.4636642,7762.689,0.4530149,7423.008,0.3976492
8988748.0,354.7115585243981,-7.688979888107045,53.58088711025224,0.996738,13.293057,11.938105986609523,0.06836319,10871.98,0.6075484,10755.43,0.530931,10429.43,0.4835738
224270521.0,354.4121301049302,-41.17631073869842,13.257446444540479,0.999767,15.141352,10.753651106808682,-0.23862743,18303.3,0.5405374,18795.24,0.5881216,18746.99,0.5904825
434105262.0,354.3765090765719,-13.642752847369616,4.251353480613993,0.991621,15.723359,8.865995188320706,-0.41858292,29887.81,0.409542,36863.59,0.4347096,36806.91,0.4360782
398573783.0,353.9737278841778,-4.704480881975384,17.823732272051178,0.995549,15.732673,11.987665941655603,0.09913635,10431.3,0.5763556,10241.91,0.4936059,9850.027,0.4736686
402339032.0,353.9029925799428,-16.296092844132104,41.07940673709926,0.99914,13.402452,11.470573283631602,-0.084918976,13505.72,0.5924808,13275.07,0.5575068,13183.21,0.5556933
402027326.0,353.5090859282621,-47.24084634039592,9.352086504355904,0.991728,13.436715,8.291257702451663,-0.49916363,41247.64,0.4175306,nan,nan,nan,nan
28579069.0,353.0168871633017,26.97960650696952,34.31347518669618,0.991684,15.317091,12.994414511109285,0.17844868,9808.766,0.8988408,9527.472,0.8264898,9122.179,0.7437754
2055059079.0,352.9005145545264,-62.92002559186122,18.84420336231748,0.991625,15.927865,12.303753940370614,0.22944641,9211.548,0.5314715,9061.751,0.4683295,8617.558,0.4406018
333224807.0,352.9001436534956,41.02475243390265,28.020644467724075,0.999798,13.888164,11.125554165227788,-0.18580627,16663.73,0.6072706,16574.86,0.6243492,16488.52,0.6260711
405170915.0,352.6732927153475,11.03494417913832,10.172361001695048,0.999526,15.548387,10.585495394946374,-0.22261906,17876.25,0.4636879,18302.19,0.4989763,18248.08,0.5009567
25769850.0,352.6707563906006,51.36412287435416,19.05527056857206,0.99925,15.060637,11.460713072874032,-0.11064148,14460.81,0.6235704,14138.72,0.5979319,14049.27,0.5980762
422526868.0,352.1967080191132,5.247213099043008,57.062001208183894,0.997468,13.062395,11.844130088970177,0.030276299,11528.0,0.6285937,11545.31,0.5650517,11276.44,0.535704
354308207.0,351.6853434595892,6.294493054964789,14.030719028596614,0.999781,15.424455,11.159854327899073,-0.18924904,16267.4,0.6059333,15996.38,0.6069737,15906.46,0.608564
435231234.0,351.5272541210922,16.00484268863722,29.591357603626907,0.996871,15.052815,12.40863893537319,0.109311104,10522.58,0.7531697,10295.84,0.6710976,9914.799,0.6045669
435229564.0,351.334363178932,14.06151048277506,42.483894789910536,0.91127,15.81497,13.956091639736021,1.0856276,5008.466,0.2834215,5064.256,0.3104405,nan,nan
9143444.0,351.327816651943,-17.866078599012116,10.676177321463205,0.999628,15.345185,10.487264171877953,-0.31044197,22038.15,0.5799708,25655.76,0.6361863,25678.26,0.640201
435210243.0,351.2414708745091,12.126900993606109,19.84792641672373,0.995724,15.982598,12.471174010668733,0.08370876,10859.38,0.8150477,10620.0,0.7326213,10283.17,0.67816
243135276.0,351.1464904818655,20.942670031114453,16.03088964384881,0.998506,15.562886,11.587674360378337,-0.05053425,13124.97,0.6087646,12922.32,0.5659297,12816.42,0.561734
381923120.0,351.1287064454798,-54.69315534355581,6.618188668782409,0.99768,15.11625,9.219945756650528,-0.48506165,38950.97,0.5992906,nan,nan,nan,nan
422444008.0,350.9949086483627,1.6740534100016566,5.784088881919857,0.987672,14.21874,8.029915253145942,-0.5062227,60564.43,0.5286775,nan,nan,nan,nan
301256988.0,350.9696851602554,-1.9182481886439675,7.657596316571259,0.998684,15.398582,9.819044798649411,-0.3993349,27856.84,0.5349812,34302.11,0.6284254,34374.91,0.6321459
21331268.0,350.9078728638319,34.2573320568277,15.684483302668953,0.99976,14.793387,10.770738494086022,-0.2572279,20227.3,0.6074537,21242.89,0.6671497,21245.34,0.6709478
362965390.0,350.3203627534982,69.43952837311772,16.075333966576437,0.999765,14.727909,10.758709109128404,-0.25893402,20064.94,0.6014749,21077.87,0.6622991,21077.35,0.6660291
188619138.0,349.8985763665459,-17.09119497572018,39.14554778417111,0.997657,14.059093,12.022505349109828,0.013136864,11673.74,0.7122863,11533.06,0.6378158,11263.38,0.6071779
435187907.0,349.6884089835517,12.600695332600958,24.806020307538827,0.995793,15.415079,12.387864591324092,0.024474144,11720.5,0.8622622,11431.22,0.7815748,11149.46,0.7486339
218978885.0,349.6437658432987,-29.96951684076387,11.11309658483046,0.998449,15.342899,10.57207476677469,-0.10085487,13364.7,0.3654837,13749.23,0.3904852,13676.54,0.3904927
301135547.0,349.5175773219436,-4.912916264354245,6.153735478243822,0.995306,15.36241,9.30810371128391,-0.38557053,27059.54,0.4275931,32977.43,0.4704924,33090.44,0.4735812
318631844.0,349.4900221870704,55.84065776026644,3.423184941362239,0.963889,15.507716,8.179867993957362,-0.42085457,nan,nan,nan,nan,nan,nan
218970233.0,348.8960249362239,-35.41437152995702,14.406559160271723,0.999388,15.475804,11.26860566388864,-0.14216518,14906.15,0.5852053,14718.71,0.5736335,14618.76,0.5737453
5796523.0,348.8774599977209,-14.66850840479884,34.64356991865684,0.992951,15.489643,13.187756289067359,0.26807117,8852.708,0.8420091,8632.631,0.7799097,8258.564,0.6860363
422609145.0,348.8594018734367,68.52333899441906,22.934175094063722,0.991907,15.964289,12.766704330870851,0.26358795,8967.086,0.680408,8765.16,0.6140513,8359.873,0.5145456
4600989.0,348.6797717176154,-7.571716168198744,13.297423612479946,0.997836,15.493635,11.112472698511196,-0.00439167,11595.81,0.4108798,11811.55,0.4106876,11591.81,0.399967
4601217.0,348.6034045359344,-6.547389129466198,38.57857358338997,0.993038,15.324528,13.256258569781581,0.35123348,8125.883,0.7475388,7956.835,0.6890567,7629.717,0.5945452
97173520.0,348.194176887737,17.86638701019661,13.113648817865917,0.9992,15.928297,11.516914788475392,-0.14136505,15449.02,0.6977474,15032.0,0.6810024,14923.69,0.6809158
405173130.0,348.0906957185231,10.784429459994456,13.30247556023869,0.995217,13.040104,8.65976626083789,-0.51437855,60178.89,0.6421979,nan,nan,nan,nan
90884697.0,347.8671287534092,29.4927265834368,3.94704025561657,0.995028,15.415555,8.396912779106907,-0.5043869,80795.3,0.69315,nan,nan,nan,nan
262568916.0,347.8247885738759,5.324733045402135,4.330204263149909,0.993371,15.967589,9.150131294611658,-0.37869072,29419.53,0.4258803,36358.12,0.471836,36340.32,0.4737602
455816370.0,347.6983469950667,42.83566986349206,6.211860642282199,0.99814,15.245061,9.211169441440042,-0.45356464,50091.82,0.6828955,nan,nan,nan,nan
260795156.0,347.5960284009902,-68.83856316661112,47.4605098981335,0.997452,13.571223,11.952885257999096,0.038321495,11196.12,0.6450525,11085.57,0.5694901,10780.15,0.5290361
268518702.0,347.516204638075,63.96433127126489,21.25847122164119,0.999735,14.166185,10.80384552665381,-0.21316433,17821.2,0.5310731,18133.31,0.5702906,18074.96,0.5724716
315301267.0,347.4970602666328,55.11394371458394,60.89459838316985,0.996425,15.604466,14.527359337239588,0.9007664,5531.383,0.650536,5408.161,0.5841111,nan,nan
204328293.0,347.1713269930119,-21.75032269120812,30.51442511975755,0.999759,13.766037,11.18856294943318,-0.17856693,16048.74,0.6110824,15825.57,0.6133964,15724.84,0.6142912
217978811.0,347.1458120717158,12.76126470789576,13.803758792409916,0.999731,15.164114,10.86410080742144,-0.26556015,20210.22,0.6483305,21220.2,0.7119993,21221.67,0.7158359
173387780.0,347.1322862536515,45.70302907907344,9.677829767474229,0.99781,15.764071,10.692961357649997,-0.053349495,12906.0,0.3613111,13077.77,0.3762636,12993.02,0.3749183
